promedio,promedio_establecimiento,desviacion,nivel_superior,nivel_minimo,nivel_satisfactorio,nivel_avanzado
323.0,4.3,60.0,12.0,27.0,39.0,22.0
317.0,3.9,55.0,12.0,36.0,29.0,24.0
305.0,1.9,54.0,9.0,45.0,43.0,3.0
309.0,0.0,56.0,11.0,49.0,31.0,10.0
331.0,4.5,57.0,8.0,29.0,39.0,24.0
348.0,0.0,59.0,0.0,28.0,56.0,16.0
334.0,0.0,62.0,10.0,49.0,34.0,7.0
328.0,3.3,52.0,4.0,44.0,37.0,15.0
308.0,3.3,53.0,35.0,31.0,27.0,7.0
315.0,4.5,57.0,15.0,33.0,30.0,21.0
269.0,2.9,57.0,63.0,23.0,12.0,3.0
293.0,2.7,54.0,23.0,42.0,27.0,8.0
284.0,3.4,62.0,32.0,58.0,8.0,2.0
306.0,3.8,61.0,11.0,40.0,46.0,3.0
285.0,2.9,55.0,17.0,60.0,20.0,4.0
273.0,2.7,51.0,36.0,39.0,17.0,8.0
283.0,2.2,49.0,21.0,58.0,19.0,3.0
269.0,1.8,46.0,36.0,43.0,19.0,2.0
286.0,6.4,67.0,21.0,49.0,26.0,5.0
258.0,2.0,45.0,74.0,19.0,7.0,1.0
285.0,1.8,45.0,24.0,51.0,20.0,5.0
278.0,5.2,55.0,32.0,58.0,11.0,0.0
306.0,2.8,60.0,16.0,46.0,24.0,15.0
293.0,0.0,73.0,51.0,22.0,14.0,14.0
308.0,0.0,67.0,15.0,45.0,25.0,15.0
287.0,4.0,47.0,26.0,64.0,11.0,0.0
325.0,4.8,57.0,6.0,39.0,49.0,6.0
299.0,2.6,54.0,16.0,41.0,31.0,12.0
311.0,2.9,57.0,12.0,39.0,22.0,27.0
303.0,1.3000000000000003,55.0,11.0,57.0,24.0,9.0
284.0,1.1999999999999997,53.0,44.0,39.0,14.0,3.0
289.0,5.4,67.0,21.0,44.0,32.0,3.0
292.0,4.6,57.0,25.0,58.0,16.0,1.0
316.0,2.7,56.0,11.0,37.0,31.0,21.0
362.0,0.0,44.0,1.0,14.0,75.0,10.0
305.0,1.1999999999999997,55.0,33.0,42.0,15.0,10.0
288.0,2.3,53.0,25.0,36.0,27.0,11.0
337.0,0.0,58.0,7.0,51.0,36.0,7.0
350.0,1.1,52.0,2.0,26.0,45.0,26.0
324.0,2.4,55.0,9.0,30.0,39.0,23.0
322.0,8.1,54.0,5.000000000000002,38.0,29.0,29.0
318.0,12.5,63.0,19.0,26.0,48.0,7.0
342.0,10.6,52.0,5.000000000000002,18.0,41.0,36.0
299.0,15.3,78.0,33.0,37.0,22.0,7.0
306.0,10.1,49.0,27.0,41.0,32.0,0.0
293.0,5.3,35.0,5.000000000000002,67.0,24.0,5.0
282.0,4.1,51.0,21.0,61.0,13.0,4.0
298.0,2.9,55.0,12.0,49.0,39.0,0.0
281.0,3.7,48.0,29.0,44.0,23.0,4.0
286.0,2.4,45.0,21.0,69.0,10.0,0.0
271.0,3.6,47.0,35.0,49.0,10.0,5.0
247.0,4.4,54.0,81.0,15.0,1.0,3.0
308.0,0.0,61.0,29.0,42.0,22.0,8.0
307.0,2.0,52.0,12.0,37.0,33.0,18.0
337.0,0.0,61.0,3.0,38.0,37.0,22.0
294.0,1.7,61.0,25.0,56.0,16.0,3.0
319.0,1.8,63.0,9.0,38.0,46.0,7.0
318.0,2.4,61.0,17.0,26.0,36.0,21.0
300.0,2.1,62.0,36.0,40.0,11.0,14.0
351.0,2.5,56.0,4.0,19.0,63.0,15.0
329.0,2.7,60.0,12.0,50.0,30.0,8.0
325.0,2.4,63.0,9.0,39.0,37.0,16.0
329.0,3.2,66.0,7.0,37.0,32.0,25.0
324.0,3.6,73.0,12.0,32.0,30.0,26.0
329.0,1.8,62.0,6.0,38.0,34.0,22.0
285.0,1.8,62.0,53.0,23.0,18.0,6.0
302.0,1.6,50.0,17.0,37.0,31.0,15.0
312.0,3.5,67.0,23.0,45.0,27.0,5.0
318.0,1.7,52.0,11.0,27.0,47.0,17.0
337.0,3.2,62.0,6.0,32.0,54.0,9.0
325.0,4.6,54.0,7.0,26.0,38.0,29.0
334.0,4.3,51.0,2.0,28.0,48.0,22.0
320.0,5.1,65.0,10.0,32.0,48.0,10.0
299.0,4.4,56.0,21.0,60.0,18.0,2.0
286.0,4.2,65.0,46.0,34.0,14.0,7.0
310.0,3.6,56.0,10.0,49.0,25.0,15.0
283.0,2.9,40.0,25.0,49.0,23.0,3.0
269.0,4.9,58.0,65.00000000000001,22.0,4.0,8.0
291.0,4.4,52.0,11.0,63.0,21.0,6.0
287.0,3.2,45.0,19.0,44.0,30.0,7.0
306.0,4.4,60.0,19.0,50.0,31.0,0.0
317.0,4.1,56.0,4.0,42.0,48.0,6.0
295.0,2.6,56.0,19.0,47.0,30.0,4.0
340.0,3.9,40.0,0.0,23.0,54.0,23.0
247.0,0.0,47.0,59.0,41.0,0.0,0.0
304.0,0.0,51.0,9.0,53.0,38.0,0.0
284.0,2.6,57.0,56.0,23.0,16.0,5.0
315.0,6.0,62.0,14.0,28.0,30.0,28.0
311.0,1.7,67.0,19.0,29.0,27.0,25.0
335.0,5.2,58.0,7.0,49.0,35.0,9.0
314.0,2.6,63.0,26.0,42.0,20.0,12.0
331.0,2.7,61.0,8.0,34.0,38.0,20.0
338.0,5.1,56.0,5.000000000000002,26.0,63.0,5.0
318.0,1.7,65.0,18.0,30.0,27.0,25.0
247.0,3.5,42.0,54.0,45.0,1.0,0.0
273.0,5.0,60.0,28.0,45.0,27.0,0.0
250.0,1.3999999999999997,47.0,74.0,23.0,1.0,2.0
279.0,1.5000000000000002,48.0,22.0,56.0,20.0,2.0
258.0,3.6,46.0,42.0,46.0,9.0,3.0
280.0,3.4,43.0,27.0,50.0,19.0,4.0
317.0,0.0,52.0,7.0,37.0,33.0,23.0
344.0,2.1,64.0,2.0,34.0,35.0,29.0
331.0,0.0,51.0,4.0,31.0,41.0,24.0
321.0,3.8,72.0,18.0,43.0,30.0,10.0
307.0,2.1,65.0,34.0,36.0,18.0,12.0
342.0,3.3,63.0,6.0,22.0,65.0,6.0
316.0,0.8999999999999999,56.0,6.0,51.0,29.0,14.0
325.0,1.5000000000000002,61.0,10.0,56.0,27.0,8.0
321.0,2.8,60.0,8.0,34.0,34.0,24.0
289.0,0.8000000000000003,52.0,46.0,35.0,15.0,5.0
344.0,1.5000000000000002,59.0,2.0,28.0,58.0,11.0
322.0,2.7,57.0,13.0,29.0,38.0,20.0
292.0,5.0,51.0,20.0,63.0,17.0,0.0
279.0,0.0,63.0,37.0,31.0,21.0,10.0
261.0,0.0,59.0,63.0,26.0,9.0,3.0
322.0,6.1,62.0,4.0,40.0,47.0,9.0
281.0,0.0,60.0,28.0,47.0,19.0,6.0
273.0,0.0,65.0,36.0,37.0,17.0,10.0
306.0,1.9,63.0,13.0,48.0,28.0,10.0
316.0,2.2,56.0,9.0,37.0,50.0,4.0
327.0,2.7,55.0,7.0,30.0,41.0,22.0
304.0,2.7,55.0,12.0,38.0,33.0,17.0
299.0,2.5,62.0,25.0,51.0,22.0,2.0
279.0,1.7,59.0,55.0,25.0,15.0,5.0
326.0,4.2,63.0,10.0,41.0,31.0,18.0
327.0,1.8,61.0,5.000000000000002,35.0,55.0,4.0
298.0,3.3,58.0,21.0,27.0,41.0,11.0
308.0,1.9,65.0,17.0,54.0,26.0,3.0
320.0,2.9,52.0,13.0,27.0,41.0,19.0
309.0,4.7,69.0,34.0,29.0,22.0,15.0
297.0,2.6,60.0,18.0,37.0,23.0,22.0
327.0,4.1,54.0,5.000000000000002,36.0,52.0,7.0
265.0,3.0,58.0,63.0,27.0,5.0,6.0
292.0,2.6,52.0,14.0,58.0,25.0,4.0
304.0,4.8,63.0,20.0,60.0,16.0,5.0
307.0,2.6,60.0,20.0,32.0,31.0,17.0
290.0,6.2,58.0,28.0,46.0,13.0,13.0
305.0,4.2,57.0,9.0,53.0,35.0,3.0
264.0,5.1,48.0,66.0,28.0,4.0,2.0
292.0,5.9,54.0,18.0,58.0,14.0,10.0
291.0,4.5,61.0,28.0,57.0,12.0,3.0
294.0,5.9,56.0,15.0,50.0,22.0,13.0
318.0,5.6,68.0,13.0,33.0,44.0,10.0
262.0,2.7,51.0,70.0,22.0,5.0,3.0
286.0,3.2,61.0,21.0,51.0,23.0,5.0
282.0,5.8,69.0,42.0,45.0,7.0,6.0
303.0,4.3,56.0,23.0,30.0,35.0,12.0
299.0,4.4,57.0,21.0,33.0,31.0,15.0
321.0,4.3,59.0,9.0,39.0,48.0,5.0
294.0,2.2,68.0,46.0,27.0,16.0,11.0
320.0,2.1,60.0,8.0,44.0,33.0,15.0
310.0,3.9,54.0,14.0,59.0,26.0,1.0
312.0,2.4,61.0,18.0,33.0,30.0,19.0
289.0,2.7,67.0,29.0,29.0,25.0,17.0
272.0,2.0,46.0,36.0,43.0,18.0,3.0
259.0,2.2,53.0,43.0,39.0,13.0,4.0
279.0,1.1,51.0,22.0,60.0,14.0,4.0
323.0,5.3,46.0,4.0,36.0,57.0,2.0
243.0,1.1999999999999997,52.0,82.00000000000001,14.0,3.0,2.0
283.0,5.8,51.0,28.0,60.0,13.0,0.0
291.0,2.0,61.0,44.0,34.0,15.0,7.0
311.0,2.0,60.0,12.0,45.0,30.0,12.0
297.0,1.9,56.0,21.0,60.0,17.0,2.0
321.0,5.2,52.0,7.0,35.0,39.0,19.0
327.0,1.8,54.0,7.0,30.0,60.0,3.0
310.0,4.9,50.0,12.0,37.0,33.0,18.0
268.0,3.1,45.0,28.0,62.0,10.0,1.0
278.0,3.0,44.0,31.0,46.0,21.0,3.0
261.0,5.9,48.0,45.0,51.0,5.0,0.0
271.0,3.2,48.0,31.0,46.0,22.0,2.0
282.0,7.800000000000001,54.0,19.0,56.0,24.0,1.0
244.0,2.8,41.0,82.00000000000001,16.0,1.0,1.0
277.0,1.3000000000000003,52.0,34.0,43.0,17.0,6.0
270.0,0.8999999999999999,55.0,62.0,29.0,6.0,4.0
283.0,0.8999999999999999,55.0,22.0,53.0,21.0,4.0
273.0,3.4,50.0,34.0,59.0,7.0,0.0
269.0,1.3000000000000003,54.0,37.0,38.0,20.0,4.0
303.0,4.4,65.0,11.0,52.0,32.0,5.0
338.0,1.1999999999999997,66.0,12.0,20.0,35.0,33.0
334.0,1.1,61.0,10.0,21.0,35.0,34.0
318.0,1.5000000000000002,61.0,28.0,30.0,26.0,16.0
358.0,1.0,54.0,2.0,18.0,67.0,13.0
338.0,1.5000000000000002,61.0,6.0,28.0,44.0,23.0
358.0,1.3999999999999997,74.0,8.0,29.0,47.0,17.0
333.0,3.4,58.0,5.000000000000002,33.0,52.0,10.0
323.0,3.1,63.0,10.0,41.0,31.0,18.0
